uuid,initial number of clusters,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity,number of internal vertices in cluster graph,number of external vertices in cluster graph,number of internal edges in cluster graph,number of external edges in cluster graph,number of faces in cluster graph,average internal vertex degree in cluster graph,average external vertex degree in cluster graph
4DB6BD40-F4FD-4E81-BACE-8E0FA5776347,25,0.25,0.0,16,0.43185768000269315,0.18364086986064387,0.3423629556310325,0.13355663685089708,20,7,64,7,45,5.4,4.857142857142857
4DB6BD40-F4FD-4E81-BACE-8E0FA5776347,25,0.25,0.0,17,0.3650245898483963,0.17233163792544562,0.30794071431427084,0.13008592660877127,20,7,64,7,45,5.4,4.857142857142857
4DB6BD40-F4FD-4E81-BACE-8E0FA5776347,25,0.25,0.0,18,0.34384783051381906,0.1552141849246486,0.30964796572136294,0.1299571363577415,20,8,65,8,46,5.4,4.75
4DB6BD40-F4FD-4E81-BACE-8E0FA5776347,25,0.25,0.0,19,0.38477932530141473,0.15401144298398325,0.3017337137096387,0.1308547077110813,20,7,64,7,45,5.4,4.857142857142857
4DB6BD40-F4FD-4E81-BACE-8E0FA5776347,25,0.25,0.0,20,0.3036968399038432,0.14559010966375657,0.3028260757702682,0.12688337442380068,20,8,65,8,46,5.4,4.75
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,0,0.6494925591042684,0.2425862637655646,0.21682620560977392,0.13756707595165052,19,6,60,6,42,5.315789473684211,5.166666666666667
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,1,0.6127431373496188,0.2228372713183129,0.23182731997005782,0.1323486910744628,18,6,57,6,40,5.277777777777778,5.166666666666667
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,2,0.6199382623136974,0.213638879303811,0.2419624822112078,0.12927400908069317,17,7,55,7,39,5.294117647058823,4.857142857142857
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,3,0.38940756769292195,0.20696186537417474,0.26249343736218844,0.12627747783638524,17,8,56,8,40,5.294117647058823,4.75
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,4,0.36001407662589685,0.19274497341371993,0.26388884298117776,0.1268543078279151,18,7,58,7,41,5.277777777777778,5.0
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,5,0.3543112864605076,0.17647365820742578,0.26091630508114505,0.12309676239325337,18,7,58,7,41,5.277777777777778,5.0
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,6,0.3586013045960429,0.17134083589996482,0.2624161285185974,0.12698694070047084,18,7,58,7,41,5.277777777777778,5.0
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,7,0.3393394883162303,0.1926894599833755,0.2679340325912356,0.13107849757687887,19,7,61,7,43,5.2105263157894735,5.285714285714286
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,8,0.419038598198523,0.1925840320275053,0.2721300228978882,0.13391823191864674,20,7,64,7,45,5.2,5.428571428571429
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,9,0.41512077957023125,0.18746641869937938,0.28680063133226386,0.12957172227358937,19,8,62,8,44,5.315789473684211,4.875
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,10,0.4250071863667231,0.17215405133938672,0.2899941179933277,0.12817750255272795,19,8,62,8,44,5.315789473684211,4.875
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,11,0.4262942371664764,0.18395395948827242,0.2652420992371374,0.12523253665909165,18,9,60,9,43,5.388888888888889,4.555555555555555
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,12,0.41649463122998337,0.187455814739929,0.27713445985671387,0.12564620825301787,18,9,60,9,43,5.388888888888889,4.555555555555555
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,13,0.4019905378475369,0.20292057177464473,0.2659913852075191,0.1261116355706435,17,9,57,9,41,5.411764705882353,4.444444444444445
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,14,0.4217484906710854,0.19326674911601568,0.2727842968794605,0.1243068290513682,17,10,58,10,42,5.411764705882353,4.4
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,15,0.3753104963089081,0.19669200128085312,0.27731248077478576,0.12003134974474257,17,11,59,11,43,5.411764705882353,4.363636363636363
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,16,0.3930660015410386,0.16880741848912176,0.26478605475653233,0.11781975568323529,17,12,60,12,44,5.411764705882353,4.333333333333333
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,17,0.42091804857707943,0.19258320461321873,0.26409413815177674,0.1172190850255899,16,13,58,13,43,5.4375,4.230769230769231
